"date","app_charged","app_total","expected_charged","expected_total","charged_match","total_match"
"2026-04-14","42","1593","42","1593","True","True"
"2026-04-15","46","3389","46","3389","True","True"
"2026-04-16","42","1611","42","1611","True","True"
"2026-04-17","43","1821","43","1821","True","True"
"2026-04-18","43","1809","43","1809","True","True"
"2026-04-19","1","35","1","35","True","True"
"2026-04-20","42","1629","42","1629","True","True"
"2026-04-21","42","1593","42","1593","True","True"
"2026-04-22","41","1413","41","1413","True","True"
"2026-04-23","42","1611","42","1611","True","True"
"2026-04-24","43","1821","43","1821","True","True"
"2026-04-25","43","1809","43","1809","True","True"
"2026-04-26","0","0","1","35","False","False"
"2026-04-27","42","1629","42","1629","True","True"
"2026-04-28","42","1593","42","1593","True","True"
